text,conf,truth,truth_is_matrix
H4016,0.56,H 4x16,0
H4020,0.60,H 4x20,0
H435,0.52,H 4x30,0
A315C2,0.52,A3-F5C2,1
A3460,0.60,A3-F6C3,1
B143,0.53,D1-F14C3,1
B2F13C1,0.53,D2-F13C1,1
D2-F022,0.54,D2-F02C2,1
D2-F04C2,0.69,D2-F04C2,1
D2-F04C3,0.68,D2-F04C3,1
D2-F05,0.72,D2-F05C2,1
D2-F05C3,0.66,D2-F05C3,1
D2-F07C,0.84,D2-F07C3,1
D2-F07C2,0.70,D2-F07C2,1
D2-F08C2,0.67,D2-F08C2,1
D2-F08C3,0.71,D2-F08C3,1
D2-F0902,0.74,D2-F09C2,1
D2-F0903,0.74,D2-F09C3,1
D2-F10C1,0.55,D2-F10C1,1
D2-F10C2,0.80,D2-F10C2,1
D2-F10C3,0.86,D2-F10C3,1
D2-F11C3,0.81,D2-F11C3,1
D2-F12C2,0.88,D2-F12C2,1
D2-F12C3,0.88,D2-F12C3,1
D2-F1302,0.74,D2-F13C2,1
D2-F13C2,0.73,D2-F13C2,1
D2-F13C3,0.83,D2-F13C3,1
D2-F14C2,0.82,D2-F14C2,1
D2-F14C3,0.77,D2-F14C3,1
D2-F15C2,0.87,D2-F15C2,1
D2-F15C3,0.88,D2-F15C3,1
D2F072,0.56,D2-F07C2,1
D3-E0,0.71,D3-F09C1,1
D3-F02C7,0.65,D3-F02C1,1
D3-F03C1,0.84,D3-F03C1,1
D3-F04C1,0.82,D3-F04C1,1
D3-F05C1,0.87,D3-F05C1,1
D3-F064,0.83,D3-F06C1,1
D3-F06C1,0.87,D3-F06C1,1
D3-F07C1,0.88,D3-F07C1,1
D3-F07C2,0.87,D3-F07C2,1
D3-F08C1,0.86,D3-F08C1,1
D3-F08C2,0.84,D3-F08C2,1
D3-F09,0.83,D3-F09C2,1
D3-F09C1,0.86,D3-F09C1,1
D3-F09C2,0.79,D3-F09C2,1
D3-F10,0.65,D3-F10C2,1
H4020,0.59,H 4x20,0
H420,0.53,H 4x20,0
