image,text,conf,bbox
site-01.jpg,H4020,0.604,"[386, 430, 421, 453]"
site-01.jpg,H4016,0.557,"[288, 405, 325, 429]"
site-01.jpg,H435,0.52,"[378, 507, 403, 522]"
site-08.jpg,D2-F15C3,0.881,"[1577, 1236, 1625, 1265]"
site-08.jpg,D2-F12C3,0.879,"[1612, 976, 1656, 995]"
site-08.jpg,D2-F12C2,0.878,"[1503, 958, 1543, 978]"
site-08.jpg,D3-F07C1,0.877,"[1802, 845, 1854, 860]"
site-08.jpg,D3-F06C1,0.873,"[1815, 698, 1867, 714]"
site-08.jpg,D2-F15C2,0.873,"[1473, 1196, 1514, 1220]"
site-08.jpg,D3-F07C2,0.87,"[1983, 856, 2047, 873]"
site-08.jpg,D3-F05C1,0.866,"[1832, 556, 1886, 578]"
site-08.jpg,D3-F09C1,0.865,"[1772, 1105, 1827, 1131]"
site-08.jpg,D2-F10C3,0.863,"[1636, 809, 1680, 824]"
site-08.jpg,D3-F08C1,0.862,"[1785, 985, 1841, 1009]"
site-08.jpg,D3-F03C1,0.845,"[1857, 270, 1916, 303]"
site-08.jpg,D2-F07C,0.844,"[1664, 554, 1712, 576]"
site-08.jpg,D3-F08C2,0.843,"[1955, 1013, 2029, 1041]"
site-08.jpg,D2-F13C3,0.835,"[1602, 1065, 1647, 1089]"
site-08.jpg,D3-F09,0.831,"[1937, 1142, 2016, 1184]"
site-08.jpg,D3-F064,0.827,"[1992, 686, 2047, 709]"
site-08.jpg,D3-F04C1,0.825,"[1845, 410, 1907, 438]"
site-08.jpg,D2-F14C2,0.824,"[1480, 1116, 1522, 1141]"
site-08.jpg,D2-F11C3,0.811,"[1624, 893, 1666, 908]"
site-08.jpg,D2-F10C2,0.803,"[1523, 808, 1559, 820]"
site-08.jpg,D3-F09C2,0.785,"[1940, 1146, 2014, 1182]"
site-08.jpg,D2-F14C3,0.767,"[1590, 1150, 1635, 1174]"
site-08.jpg,D2-F1302,0.744,"[1492, 1039, 1534, 1064]"
site-08.jpg,D2-F0902,0.741,"[1532, 730, 1569, 742]"
site-08.jpg,D2-F0903,0.738,"[1642, 723, 1686, 738]"
site-08.jpg,D2-F13C2,0.728,"[1492, 1039, 1534, 1063]"
site-08.jpg,D2-F05,0.719,"[1569, 424, 1599, 444]"
site-08.jpg,D3-E0,0.715,"[1773, 1106, 1808, 1119]"
site-08.jpg,D2-F08C3,0.713,"[1657, 637, 1704, 657]"
site-08.jpg,D2-F07C2,0.701,"[1550, 575, 1590, 594]"
site-08.jpg,D2-F04C2,0.694,"[1578, 345, 1624, 373]"
site-08.jpg,D2-F04C3,0.679,"[1688, 304, 1739, 334]"
site-08.jpg,D2-F08C2,0.672,"[1540, 650, 1581, 669]"
site-08.jpg,D2-F05C3,0.655,"[1680, 386, 1729, 412]"
site-08.jpg,D3-F10,0.653,"[1927, 1253, 2007, 1296]"
site-08.jpg,D3-F02C7,0.65,"[1862, 134, 1923, 170]"
site-08.jpg,A3460,0.603,"[469, 717, 493, 728]"
site-08.jpg,D2F072,0.561,"[1550, 574, 1591, 595]"
site-08.jpg,D2-F10C1,0.551,"[1427, 804, 1461, 818]"
site-08.jpg,D2-F022,0.536,"[1592, 196, 1638, 227]"
site-08.jpg,B143,0.531,"[1286, 1124, 1316, 1145]"
site-08.jpg,B2F13C1,0.53,"[1400, 1015, 1436, 1037]"
site-08.jpg,A315C2,0.524,"[410, 659, 435, 672]"
site-12.jpg,H4020,0.595,"[1979, 624, 2004, 635]"
site-12.jpg,H420,0.527,"[1977, 622, 2007, 637]"
